id,name,type,business_value,revenue_impact,migration_complexity,base_cost,base_duration,runtime,annual_cost
pricing_db,Pricing Rules Database,Database,Medium,100000.0,Medium,45000.0,20,PostgreSQL 15,30000.0
coupon_service,Coupons & Promos Service,Microservice,Low,20000.0,Low,10000.0,7,Python 3.10,12000.0
shipping_service,Logistics & Shipping Adaptor,Microservice,High,200000.0,Medium,30000.0,15,Go 1.20,28000.0
shipping_db,Shipping Manifests Store,Database,High,200000.0,Medium,45000.0,20,PostgreSQL 14,40000.0
tax_calculator,Third-Party Tax Integration,ThirdPartyGateway,Medium,180000.0,Low,8000.0,5,SaaS API,15000.0
review_service,Ratings & Reviews Engine,Microservice,Low,10000.0,Low,12000.0,10,Node.js 18,12000.0
review_db,Reviews NoSQL Store,Database,Low,10000.0,Medium,30000.0,15,Cassandra,38000.0
customer_db,CRM Customer Database,Database,High,220000.0,High,95000.0,45,MS SQL Server,140000.0
customer_service,Customer Profile Manager,Microservice,High,220000.0,Medium,30000.0,14,Java 17,32000.0
email_gateway,SMTP Mail Dispatcher,ThirdPartyGateway,Low,2000.0,Low,5000.0,5,AWS SES,6000.0
sms_gateway,Twilio SMS Dispatcher,ThirdPartyGateway,Low,1000.0,Low,5000.0,5,Twilio API,8000.0
fraud_detector,Fraud Detection Engine,ThirdPartyGateway,High,300000.0,Low,10000.0,5,Sift Science SaaS,50000.0
ledger_mainframe,Legacy Core Ledger Mainframe,Mainframe,High,450000.0,High,750000.0,180,COBOL / z/OS,950000.0
ledger_db,Mainframe DB2 Database,Database,High,450000.0,High,250000.0,90,IBM DB2,400000.0
accounting_service,General Ledger & Accounting,Microservice,Medium,40000.0,High,80000.0,45,Java 11 (Spring),65000.0
accounting_db,Oracle Financials Database,Database,Medium,40000.0,High,140000.0,60,Oracle 19c,210000.0
audit_logger,Compliance Audit Auditor,Microservice,Low,10000.0,Medium,22000.0,14,Go 1.20,20000.0
audit_db,Audit Log clickhouse,Database,Low,10000.0,High,85000.0,30,ClickHouse,95000.0
reporting_service,Regulatory Reporting Engine,Microservice,Medium,30000.0,Medium,40000.0,21,Python 3.9,25000.0
bi_dashboard,Enterprise Tableau Console,Microservice,Low,5000.0,Low,15000.0,10,Tableau Server,80000.0
data_lake,S3 Analytics Data Lake,Database,Low,0.0,Medium,50000.0,30,AWS S3 / Parquet,120000.0
etl_pipeline,Airflow ETL Coordinator,Microservice,Low,0.0,Medium,30000.0,20,Apache Airflow,40000.0
supplier_portal,Supplier Access Portal,Microservice,Medium,60000.0,Low,18000.0,14,React / Go,15000.0
supplier_db,Supplier Directory DB,Database,Medium,60000.0,Medium,35000.0,15,PostgreSQL 15,22000.0
procurement_service,Stock Procurement Manager,Microservice,Medium,80000.0,Medium,25000.0,15,Java 17,25000.0
returns_service,Customer Returns Portal,Microservice,Low,30000.0,Low,15000.0,10,Node.js 18,15000.0
returns_db,Returns Log DB,Database,Low,30000.0,Low,20000.0,10,PostgreSQL 14,18000.0
session_store,Web Sessions Store,Database,High,250000.0,Low,12000.0,7,Redis Cluster,30000.0
dns_router,Edge DNS Router,Microservice,High,500000.0,Low,10000.0,5,AWS Route53,12000.0
waf_security,WAF Security Shield,Microservice,High,500000.0,Medium,45000.0,14,AWS WAF / Shield,95000.0
asset_manager,Digital Asset S3 Bucket,Database,Low,5000.0,Low,10000.0,7,AWS S3,18000.0
metrics_collector,Prometheus Metrics Engine,Microservice,Low,2000.0,Low,15000.0,10,Prometheus,14000.0
log_aggregator,Grafana Loki Log Hub,Microservice,Low,2000.0,Low,15000.0,10,Grafana Loki,15000.0
monitoring_alert,PagerDuty Incident Dispatch,ThirdPartyGateway,Medium,50000.0,Low,8000.0,5,PagerDuty SaaS,24000.0
