id,name,type,business_value,revenue_impact,migration_complexity,base_cost,base_duration,runtime,annual_cost
notification_service,Customer Notification Service,Microservice,Medium,18826.79,Low,6685.01,4,Go 1.21,78770.83
customer_profile_service,Customer Profile Service,Microservice,High,102674.35,Medium,58560.56,51,Java 17,27138.94
customer_db,Customer Master Database,Database,High,122339.79,Medium,142261.71,56,PostgreSQL 15,94907.51
session_service,Digital Session Service,Database,Medium,30794.82,Low,16824.32,16,Redis 7,44753.29
chatbot_service,Customer Chatbot Service,Microservice,Low,2357.03,Low,15776.28,16,Python 3.11,42888.18
biometric_auth_service,Biometric Authentication Service,Microservice,High,356427.76,Medium,36500.54,26,Go 1.21,14849.01
digital_identity_service,Digital Identity & SSO Service,Microservice,High,313028.35,High,510266.63,73,Java 17,29892.51
atm_network_gateway,ATM Network Gateway,ThirdPartyGateway,High,140866.85,Low,16215.34,16,NDC+ Protocol,19174.4
card_control_service,Card Controls Service,Microservice,Medium,45070.82,Low,26862.15,5,Go 1.21,45450.46
budgeting_tools_service,Budgeting Tools Service,Microservice,Low,13058.89,Low,18758.13,4,Node.js 20,62171.59
statements_service,eStatements Service,Microservice,Medium,50138.22,Low,5368.95,5,Java 11,84109.36
statements_db,Statements Archive Database,Database,Medium,70165.22,Low,9157.78,18,MongoDB 7,82576.59
digital_analytics_service,Digital Analytics Service,Microservice,Low,13105.11,Low,27561.07,8,Python 3.11,40317.85
marketing_automation,Marketing Automation Platform,ThirdPartyGateway,Low,14794.32,Low,11630.08,17,SaaS (Salesforce Marketing Cloud),24262.46
customer_support_ticketing,Customer Support Ticketing,ThirdPartyGateway,Medium,60278.45,Low,23262.63,20,SaaS (Zendesk),43093.57
digital_event_bus,Digital Banking Event Bus,Queue,Medium,46633.64,Medium,52787.74,33,Apache Kafka,77966.11
feature_flag_service,Feature Flag Service,Microservice,Low,9108.52,Low,18554.88,13,Go 1.21,14573.22
hris_core,Core HRIS Platform,Monolith,Medium,52971.54,High,376282.67,169,PeopleSoft/PL-SQL,259337.84
hr_db,HR Master Database,Database,Medium,18697.17,High,378522.82,168,Oracle 19c,44157.24
payroll_service,Payroll Processing Service,Microservice,High,270411.23,Medium,111025.51,35,Java 11,42302.04
payroll_db,Payroll Database,Database,High,381310.76,Medium,98361.05,57,PostgreSQL 15,97287.49
benefits_admin_service,Benefits Administration Service,Microservice,Medium,55259.8,Medium,80306.99,57,Java 11,55218.15
identity_sso_service,Enterprise Identity & SSO,Microservice,High,181238.35,High,267344.56,145,Java 17,67295.34
active_directory,Active Directory,Database,High,156379.5,Medium,77494.3,39,Microsoft AD,79439.19
email_exchange_service,Enterprise Email Service,ThirdPartyGateway,Medium,75386.19,Low,28393.36,3,SaaS (Microsoft 365),32914.28
hr_analytics_service,HR Analytics Service,Microservice,Low,14978.36,Low,29902.41,5,Python 3.11,53010.75
recruiting_ats_service,Recruiting/ATS Platform,ThirdPartyGateway,Low,8082.39,Low,8311.41,14,SaaS (Workday),54043.21
timesheet_service,Employee Timesheet Service,Microservice,Medium,72152.57,Low,14238.18,8,Node.js 20,45054.77
expense_management_service,Expense Management,ThirdPartyGateway,Medium,50309.17,Low,12562.93,19,SaaS (Concur),10391.16
enterprise_service_bus,Enterprise Service Bus,Queue,Medium,68111.77,High,284720.44,144,IBM MQ,21733.12
shared_file_storage,Shared Enterprise File Storage,Database,Low,13293.78,Medium,61735.91,26,NetApp/SMB,116514.17
enterprise_search_service,Enterprise Search Service,Microservice,Low,3176.27,Low,12043.91,9,Elasticsearch 8,67408.97
procurement_service,Procurement Service,Microservice,Medium,28233.83,Medium,106108.56,36,Java 11,50432.72
procurement_db,Procurement Database,Database,Medium,31322.88,Medium,138979.09,23,PostgreSQL 15,31998.8
vendor_management_service,Vendor Management Service,Microservice,Medium,42532.43,Low,11917.01,3,Java 11,36684.52
inventory_service,Branch Equipment Inventory Service,Microservice,Low,2831.48,Low,29494.95,8,Node.js 20,69298.47
inventory_db,Inventory Database,Database,Low,8723.53,Low,15692.17,3,MySQL 8,34543.6
purchase_order_service,Purchase Order Service,Microservice,Medium,76428.31,Medium,112922.35,29,Java 11,53647.22
invoice_processing_service,Invoice Processing Service,Microservice,Medium,69248.68,Medium,99901.15,29,Java 11,44382.94
erp_monolith,Enterprise ERP Monolith,Monolith,High,93385.23,High,314093.18,179,SAP ECC / ABAP,338836.69
erp_db,ERP Database,Database,High,355424.83,High,554516.09,86,SAP HANA,108668.67
contract_management_service,Contract Management Service,Microservice,Low,10337.07,Low,13841.97,20,Node.js 20,80730.78
supplier_portal,Supplier Self-Service Portal,ThirdPartyGateway,Low,6689.28,Low,20516.54,7,SaaS (Ariba),56288.19
logistics_tracking_service,Logistics Tracking Service,Microservice,Low,4314.32,Low,9062.54,8,Go 1.21,80513.3
warehouse_mgmt_service,Warehouse Management Service,Microservice,Low,1347.01,Medium,118387.74,41,Java 11,72590.92
procurement_event_bus,Procurement Event Bus,Queue,Low,6763.98,Medium,110388.86,35,RabbitMQ,32342.37
asset_management_service,Fixed Asset Management Service,Microservice,Medium,66179.34,Medium,42971.48,22,Java 11,78687.46
